index,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
178,acer,Missing,Intel,Core i3,11th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,36999,45000,17,0,0,0
179,DELL,Missing,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,42900,55351,22,0,0,0
180,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,21490,25990,17,3.9,818,113
181,DELL,Insprion,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,41480,48990,15,3.8,25,4
182,ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,32990,43990,25,2,12,0
183,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38680,51990,25,3.2,17,1
184,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,23990,29990,20,4.1,974,170
185,DELL,Missing,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,40390,54992,26,3.2,83,15
186,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.1,0,No,No,33990,39990,15,3.4,31,6
187,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,20490,24990,18,3.9,637,91
188,DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,41490,54782,24,5,7,5
189,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45490,60371,24,4.3,207,16
190,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,44490,57479,22,4.3,844,103
191,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,Yes,41890,57990,27,4.2,53,6
192,DELL,Vostro,Intel,Core i3,11th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,42990,43126,0,4.1,62,7
193,acer,Travelmate,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14,0,No,No,40990,60000,31,4.2,38,2
194,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,48990,59990,18,4.1,724,92
195,DELL,Vostro,Intel,Core i3,11th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43590,59781,27,0,0,0
196,DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,No,44690,60122,25,4.3,9,0
197,ASUS,ExpertBook,Intel,Core i3,10th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,40990,51990,21,0,0,0
198,DELL,Vostro,Intel,Core i3,11th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43990,56743,22,0,0,0
199,DELL,Vostro,Intel,Core i3,11th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43590,57863,24,0,0,0
200,DELL,Vostro,Intel,Core i3,10th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,41390,51976,20,4.2,56,7
201,DELL,Vostro,Intel,Core i3,10th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44290,57858,23,0,0,0
202,DELL,Inspiron,Intel,Core i3,11th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,No,48999,57095,14,0,0,0
203,DELL,Vostro,Intel,Core i3,11th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,39990,45810,12,3.9,170,11
204,DELL,Missing,Intel,Core i3,10th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,46390,59101,21,2.9,95,5
205,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,18990,22990,17,3.6,197,25
206,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,17990,21990,18,3.6,1180,148
207,HP,14a,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,26470,31532,16,3.6,232,23
208,HP,Chromebook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,27990,31532,11,3.8,596,65
