,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country,weighted_vote
177,김약국의 딸들,25238677,박경리,마로니에북스,"13,500",37.0,4.5, 2013년 3월,한국,4.439997368421053
178,그 산이 정말 거기 있었을까,260678458,박완서,웅진지식하우스,"11,700",31.0,5.0, 2021년 1월,한국,4.913121875
179,세 여자,253603160,조선희,한겨레출판,"22,500",9.0,4.5, 2020년 10월,한국,4.27199
180,아무것도 아니라고 잘라 말하기,284167087,임솔아,문학과지성사,"12,600",6.0,5.0, 2021년 12월,한국,4.602842857142857
181,미스터 션샤인 1,166250102,김은숙,알에이치코리아(RHK),"13,320",9.0,4.0, 2018년 9월,한국,3.82199
182,미스터 션샤인 2,168778733,김수연,알에이치코리아(RHK),"13,320",5.0,4.5, 2018년 10월,한국,4.119983333333334
183,신이 쉼표를 넣은 곳에 마침표를 찍지 말라,220694397,류시화,더숲,"16,200",17.0,4.5, 2019년 12월,한국,4.373327777777778
184,젊은 느티나무,943963,강신재,문학과지성사,"9,450",11.0,4.5, 2007년 7월,한국,4.309991666666667
185,선릉 산책,281363103,정용준,문학동네,"12,600",17.0,5.0, 2021년 10월,한국,4.84555
186,토지 2,18899924,박경리,마로니에북스,"12,150",19.0,4.5, 2012년 8월,한국,4.385994999999999
187,뜨거운 피,74920753,김언수,문학동네,"14,850",87.0,4.5, 2016년 8월,한국,4.4740897727272735
188,가슴 뛰는 소설,249298919,최진영,창비교육,"14,400",15.0,4.0, 2020년 8월,한국,3.88874375
189,토지 3,18899997,박경리,마로니에북스,"12,150",18.0,4.5, 2012년 8월,한국,4.379994736842105
190,연적,67266500,김호연,나무옆의자,"11,700",26.0,4.5, 2015년 9월,한국,4.415551851851852
191,빛 속으로,276916322,김사량,녹색광선,"15,750",18.0,4.5, 2021년 8월,한국,4.379994736842105
192,메시지를 입력하세요,289732596,오휘명,히읏,"13,770",18.0,5.0, 2022년 2월,한국,4.8536789473684205
193,저녁의 구애,11130189,편혜영,문학과지성사,"9,900",54.0,4.0, 2011년 3월,한국,3.9676345454545454
194,뜻밖의 계절,204472147,임하운,시공사,"11,520",16.0,4.0, 2019년 8월,한국,3.8952882352941174
195,해설과 함께 읽는 운수 좋은 날 / 날개 외,190526299,전도현,서연비람,"10,800",0.0,0.0, 2019년 5월,한국,2.2199
196,호출,7507714,김영하,문학동네,"9,900",19.0,4.0, 2010년 7월,한국,3.9109949999999998
197,2의 세계,292884139,고요한,&(앤드),"13,500",20.0,4.5, 2022년 4월,한국,4.391423809523809
198,아랑은 왜,246812567,김영하,복복서가,"8,100",4.0,4.0, 2020년 7월,한국,3.64398
199,저승 최후의 날 1,291802360,시아란,안전가옥,"13,500",5.0,5.0, 2022년 3월,한국,4.53665
200,책에서 나오다 : SF 작가의 고전 SF 오마주,293016076,정보라,구픽,"13,320",0.0,0.0, 2022년 5월,한국,2.2199
201,무진기행,965741,김승옥,민음사,"8,100",80.0,4.5, 2007년 8월,한국,4.471850617283951
202,디디의 우산,177297207,황정은,창비,"12,600",140.0,4.5, 2019년 1월,한국,4.483829078014184
203,"진이, 지니",192375095,정유정,은행나무,"12,600",138.0,4.5, 2019년 5월,한국,4.483596402877698
204,순이삼촌,54830137,현기영,창비,"13,500",41.0,4.0, 2015년 3월,한국,3.9576166666666666
205,눈으로 만든 사람,272864870,최은미,문학동네,"13,320",50.0,5.0, 2021년 6월,한국,4.945488235294117
206,남한산성,112952239,김훈,학고재,"14,400",70.0,4.5, 2017년 7월,한국,4.467885915492958
207,작별,170717710,한강,은행나무,"10,800",90.0,4.5, 2018년 10월,한국,4.474943956043957
208,희랍어 시간,13849130,한강,문학동네,"9,000",136.0,4.5, 2011년 11월,한국,4.48335693430657
209,어떤 물질의 사랑,246058934,천선란,아작,"13,320",37.0,4.0, 2020년 7월,한국,3.953155263157895
210,한국단편문학선 1,203381,김동인,민음사,"9,900",34.0,4.0, 1998년 8월,한국,3.94914
211,서영동 이야기,287206734,조남주,한겨레출판,"13,500",56.0,4.5, 2022년 1월,한국,4.459998245614035
212,한 스푼의 시간,91312487,구병모,위즈덤하우스,"10,800",90.0,4.5, 2016년 9월,한국,4.474943956043957
213,흰,143220344,한강,문학동네,"11,250",38.0,4.5, 2018년 4월,한국,4.441535897435897
214,2021 김승옥문학상 수상작품집,280557239,문진영,문학동네,"9,000",10.0,4.5, 2021년 10월,한국,4.292718181818182
215,키싱 마이 라이프,2862137,이옥수,비룡소,"9,900",46.0,4.0, 2008년 11월,한국,3.9621255319148934
216,도깨비 2,101979697,김수연,알에이치코리아(RHK),"12,420",51.0,5.0, 2017년 2월,한국,4.946536538461538
217,파도가 바다의 일이라면,67523802,김연수,문학동네,"11,700",45.0,4.0, 2015년 10월,한국,3.9613021739130434
218,서른의 반격,119877647,손원평,은행나무,"11,250",109.0,4.5, 2017년 10월,한국,4.479271818181818
219,술과 바닐라,271699276,정한아,문학동네,"12,150",13.0,4.5, 2021년 5월,한국,4.337135714285715
220,김보영의 스텔라 오디세이 트릴로지 세트 - 전3권,239729466,김보영,새파란상상(파란미디어),"27,000",7.0,5.0, 2020년 5월,한국,4.6524875
221,당신 엄마가 당신보다 잘하는 게임,287395908,박서련,민음사,"11,700",5.0,4.5, 2022년 1월,한국,4.119983333333334
222,운수 좋은 날 「현진건」,15225976,현진건,사피엔스21,"6,300",7.0,3.5, 2012년 2월,한국,3.3399875
223,표,533719,송명희,드림북,"8,910",17.0,4.5, 2004년 12월,한국,4.373327777777778
224,미래로 가는 사람들,239729988,김보영,새파란상상(파란미디어),"9,000",3.0,5.0, 2020년 5월,한국,4.304975
225,강산무진,643165,김훈,문학동네,"12,600",82.0,4.5, 2006년 4월,한국,4.472528915662651
226,삼개주막 기담회,270808136,오윤희,고즈넉이엔티,"13,500",14.0,4.5, 2021년 5월,한국,4.347993333333333
227,우리에게 허락된 미래,286910654,조해진,마음산책,"12,600",5.0,5.0, 2022년 1월,한국,4.53665
228,에세이스트의 책상,274561410,배수아,문학동네,"11,250",7.0,5.0, 2021년 6월,한국,4.6524875
229,빛의 호위,102740973,조해진,창비,"12,600",51.0,4.5, 2017년 2월,한국,4.456151923076923
230,우리가 다시 만날 세계,288184414,황모과,문학과지성사,"12,600",8.0,4.0, 2022년 2월,한국,3.8022111111111108
231,그 남자네 집,260942557,박완서,현대문학,"11,700",11.0,5.0, 2021년 1월,한국,4.768325
232,토지 세트 - 전21권,18908554,박경리,마로니에북스,"243,000",63.0,4.5, 2012년 8월,한국,4.4643734375
233,식물들의 사생활,35386824,이승우,문학동네,"11,700",23.0,4.0, 2014년 1월,한국,3.925829166666667
234,사라지는 건 여자들뿐이거든요,247068451,강화길,은행나무,"11,700",19.0,4.0, 2020년 7월,한국,3.9109949999999998
235,유령해마,270015703,문목하,아작,"13,320",23.0,4.5, 2021년 4월,한국,4.404995833333333
236,GV 빌런 고태경,238006701,정대건,은행나무,"12,150",43.0,5.0, 2020년 4월,한국,4.936815909090909
237,천국에서,31397765,김사과,창비,"12,600",36.0,4.0, 2013년 9월,한국,3.951889189189189
238,토지 4,18901366,박경리,마로니에북스,"12,150",16.0,4.5, 2012년 8월,한국,4.365876470588235
239,삼개주막 기담회 2,285026108,오윤희,고즈넉이엔티,"13,500",14.0,4.5, 2022년 1월,한국,4.347993333333333
