,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country
9929,꼰대 생각,276604685,이홍사,뿌리출판사,"10,800",null,null, 2021년 8월,한국
9930,향수병에는 향수가 없다,276446391,성지혜,문이당,"12,600",6,4, 2021년 7월,한국
9931,팔색조의 섬,276852350,윤후명,은행나무,"13,500",null,null, 2021년 7월,한국
9932,엄마는 나쁜 년이다,277037310,여리사,메이킹북스,"10,800",null,null, 2021년 7월,한국
9933,악희뎐,276915091,냉이풀,부크크(bookk),"18,000",null,null, 2021년 7월,한국
9934,늘봄아파트 경비원,275104621,김영휘,닻별,"9,000",null,null, 2021년 7월,한국
9935,수락산 저녁노을,274337671,황천우,북랩,"12,420",null,null, 2021년 6월,한국
9936,[큰글씨책] 나의 미친 페미니스트 여자친구,273282718,민지형,나비클럽,"32,000",null,null, 2021년 6월,한국
9937,가자 북으로,273566312,전덕용,민플러스,"20,700",null,null, 2021년 6월,한국
9938,약편 선도체험기 08,273181329,김태영,글터,"20,000",null,null, 2021년 5월,한국
9939,"개, 고양이 그리고 나",274500234,박우영,부크크(bookk),"16,700",null,null, 2021년 5월,한국
9940,황해여인숙,272100987,신말수,시와동화,"13,500",null,null, 2021년 5월,한국
9941,페르세우스여 안녕,271236847,이홍사,뿌리출판사,"9,900",null,null, 2021년 5월,한국
9943,귀결사 2,270262827,전희원,열세번째방,"13,500",null,null, 2021년 4월,한국
9944,무정하고도 무심한,275100413,송한별,인디펍,"13,500",null,null, 2021년 4월,한국
9945,"손, 손가락 그리고 그녀",266079518,김도환,바른북스,"13,500",null,null, 2021년 3월,한국
9946,배심원,265447890,이인철,지식과감성#,"11,700",null,null, 2021년 3월,한국
9947,일본을 향해 쏴라,265564018,이원섭,영적지도자(DIRECTOR),"15,000",null,null, 2021년 3월,한국
9948,오늘도 어제와 비슷한 하루였다,264075857,경덕여고책쓰기동아리,책방,"12,000",null,null, 2021년 2월,한국
9949,외로운 증언,262648827,박석수,북인,"11,700",null,null, 2021년 1월,한국
9951,小設 國璽,260101445,전가을산,메이킹북스,"14,220",null,null, 2021년 1월,한국
9952,나무가 바람에 미쳐버리듯이,261830383,박희주,미디어저널,"13,500",null,null, 2021년 1월,한국
9953,용천검명,262083815,이호철,한국소설가협회,"13,000",null,null, 2020년 12월,한국
9954,피를 먹는 새,260311558,박은희,와우,"13,500",null,null, 2020년 12월,한국
9955,스크리밍 케이브,258547531,윤준필,북랩,"12,600",1,5, 2020년 12월,한국
9956,이야기와 소리로 만나는 전태일,258522400,이시백,비(도서출판b),"9,000",null,null, 2020년 12월,한국
9957,간도묵시록 1,259643825,조병현,좋은땅,"16,200",null,null, 2020년 12월,한국
9958,위 빌트 디스 시티,256052017,박상권,파랑새미디어,"11,000",null,null, 2020년 11월,한국
9959,박근혜 정부의 사물인터넷,256535422,신효진,(주)애견타임즈,"17,100",1,4, 2020년 11월,한국
9960,첫 사랑의 추억에서 다시 찾은 행복,255135522,이성,지성문화사,"13,500",null,null, 2020년 11월,한국
9962,소풍,256323438,채영신,강,"12,600",1,5, 2020년 11월,한국
9963,허무의 서른,256139043,홍순호,좋은땅,"9,000",null,null, 2020년 11월,한국
9964,[큰글자도서] 자두,255667318,이주혜,미디어창비,"20,000",null,null, 2020년 11월,한국
9965,숨은 꽃들의 귀환,256317987,강태근,도화,"16,200",null,null, 2020년 10월,한국
9966,[큰글자도서] 부림지구 벙커X,248172851,강영숙,미디어창비,"30,000",null,null, 2020년 7월,한국
9967,그 봄 5년 후,246906889,안승빈,청어,"11,700",null,null, 2020년 7월,한국
9968,왕의 밀사,242976442,허수정,베스트하우스,"13,500",1,3, 2020년 6월,한국
9969,화이트아웃,238151329,장용호,필리리스토리,"13,500",null,null, 2020년 4월,한국
9970,실금 하나,222111983,정정화,산지니,"13,500",3,5, 2019년 12월,한국
9971,[POD] 자유종,225034029,이해조,부크크(bookk),"5,700",null,null, 2019년 12월,한국
9972,[POD] 나는 연쇄살인자와 결혼했다,215619843,홍선주,부크크(bookk),"16,900",2,5, 2019년 10월,한국
9973,"봄밤을 거슬러, 모든 것은 레겐다에 있다",212081476,정미형,화니콤,"12,000",3,5, 2019년 10월,한국
9975,코피 흘린 대가,205857187,김종광,청색종이,"4,500",null,null, 2019년 8월,한국
9977,[큰글자도서] 개는 왜 짖는가 1,189030086,송기숙,미디어창비,"20,000",null,null, 2019년 3월,한국
9978,사나사나,184233550,주지영,강,"12,600",null,null, 2019년 2월,한국
9979,하티를 만난다면,174899388,강진,강,"12,600",1,4, 2018년 11월,한국
9980,마가리 극장,173779766,김도연,우리나비,"11,700",null,null, 2018년 11월,한국
9981,답방,170352479,송승엽,해드림출판사,"11,700",4,5, 2018년 10월,한국
9982,유린이야기,170562093,김가경,화니콤,"12,000",null,null, 2018년 10월,한국
9983,겨울의 심장,168715481,진주현,더시드컴퍼니,"11,700",8,4, 2018년 10월,한국
9984,[큰글자도서] 자랏골의 비가 1,168768085,송기숙,미디어창비,"25,000",null,null, 2018년 9월,한국
9985,[POD] 동백꽃.봄봄,164286271,김유정,부크크(bookk),"12,700",null,null, 2018년 8월,한국
9986,바람이 분다,151670999,권채운,문학나무,"12,150",1,5, 2018년 6월,한국
9987,구름이 된 말,149869088,정오목,글도출판사,"12,150",null,null, 2018년 6월,한국
9988,[큰글자도서] 재와 빨강 1,141318359,편혜영,미디어창비,"19,000",null,null, 2018년 3월,한국
9989,[큰글자도서] 재와 빨강 2,141318670,편혜영,미디어창비,"19,000",null,null, 2018년 3월,한국
9990,주인 없는 방,137817684,김준녕,렛츠북,"10,800",8,4, 2018년 3월,한국
9991,[POD] 강경애 단편소설 BEST 10,140067333,강경애,부크크(bookk),"13,800",null,null, 2018년 3월,한국
9992,달로 간 자전거,127714671,양진채,문학나무,"11,700",null,null, 2017년 12월,한국
9993,알 수도 있는 사람,116115063,전민식,답(도서출판),"12,420",4,3.5, 2017년 9월,한국
9994,아브락사스의 정원,103944974,이평재,나무옆의자,"8,100",6,4.5, 2017년 3월,한국
9995,[큰글자도서] 계속해보겠습니다 2,107095521,황정은,미디어창비,"20,000",null,null, 2017년 2월,한국
9996,말의 미소,97386999,채영신,테오리아,"3,600",1,5, 2016년 11월,한국
9997,요시와라 유녀와 비밀의 히데요시,95813237,허수정,신아출판사(SINA),"12,420",18,4.5, 2016년 11월,한국
9998,마사코 할머니,94815052,이현우,판다플립,"11,700",null,null, 2016년 10월,한국
9999,불륜일기,93568553,김헤나,북랩,"12,420",1,5, 2016년 9월,한국
10000,영원의 미소,93138335,심훈,글누림,"39,900",null,null, 2016년 9월,한국
10001,굿바이 아마레,89404257,문형렬,나무옆의자,"8,100",114,5, 2016년 8월,한국
10002,수목원,89404652,서진연,나무옆의자,"8,100",58,5, 2016년 8월,한국
10003,해바라기 아이들의 눈물,82131967,사이,의담,"14,250",2,5, 2016년 4월,한국
10004,세우지 않은 비명,80973186,이병주,바이북스,"9,900",1,3, 2016년 3월,한국
10005,이순신의 나라 1,68747690,임영대,새파란상상(파란미디어),"10,800",2,4, 2015년 10월,한국
10006,끌,66512801,이병순,산지니,"11,700",2,5, 2015년 9월,한국
10007,터미네이터 라인 덫,65992007,권여원,예영커뮤니케이션,"8,100",null,null, 2015년 8월,한국
10008,커피킹,61316322,이주현,보스턴북스,"11,520",8,4.5, 2015년 6월,한국
10009,배신,59913210,노원상,해드림출판사,"11,700",null,null, 2015년 5월,한국
10011,[CD] [오디오북] 이지혜가 읽는 주요섭의 사랑 손님과 어머니 - CD 1장,56862937,주요섭,커뮤니케이션북스,"19,800",null,null, 2015년 5월,한국
10012,런던의 안식월,48099908,이승민,바람,"10,620",null,null, 2014년 10월,한국
10013,명량 그 후 4,44675054,배상열,황금책방,"8,820",1,2, 2014년 9월,한국
10014,구수내와 개갑장터의 들꽃,44401846,이성수,문학공원,"13,500",null,null, 2014년 5월,한국
10015,아빠는 나무다,39205164,이태범,가연,"10,800",null,null, 2014년 4월,한국
10016,낙타의 뿔,33886104,윤순례,은행나무,"11,700",10,4, 2013년 12월,한국
10017,옴파맨이 간다,34112331,황규원,노블마인,"11,700",5,4, 2013년 12월,한국
10018,김동리 문학전집 26 : 수필과 엮은 자서전,33790883,김동리기념사업회,계간문예,"12,000",null,null, 2013년 11월,한국
10019,소설 하디,29859558,고진하,KMC(기독교대한감리회),"9,500",null,null, 2013년 8월,한국
10020,선도체험기 105,29758679,김태영,글앤북,"15,000",null,null, 2013년 7월,한국
10021,[세트] 정글만리 3 + 태백산맥 핸디북 세트,35951006,조정래,해냄,"29,700",null,null, 2013년 7월,한국
10022,추월색 외,28280829,장지연,지식의숲(넥서스),"6,300",null,null, 2013년 6월,한국
10023,[세트] 비밀독서단 37회차 '대한민국이 사랑하는 스타 작가 특집 - 정유정 편' - 전2권,88281309,정유정,은행나무,"23,850",null,null, 2013년 6월,한국
10024,두만강,27665836,장해성,나남출판,"14,000",1,3, 2013년 6월,한국
10025,김동리 문학전집 17 : 바위 패랭이 꽃,27823468,김동리기념사업회,계간문예,"12,000",null,null, 2013년 6월,한국
10026,탁류 2,26945178,채만식,지식의숲(넥서스),"8,100",null,null, 2013년 4월,한국
10027,주인양반,26073338,미몽,와이엠북스(YMBooks),"8,100",3,3.5, 2013년 4월,한국
10028,"울지 말아요, 기타",25745322,김형경,사람풍경,"13,500",2,4.5, 2013년 4월,한국
10029,청백리 차지철,24683861,김유권,오늘,"10,800",null,null, 2013년 3월,한국
10030,어느 흰 옷의 거짓말,21041561,소윤아,한길,"7,650",null,null, 2012년 10월,한국
